Subject,Title,Summary,Link
Astrophysics,Pseudo-Newtonian models of a rotating black hole field,Several topics are discussed regarding the pseudo-Newtonian models of the gravitational field around rotating black holes,http://arxiv.org/abs/0903.4884v1
Astrophysics,Old isolated neutron stars,"In this poster I briefly review several articles on astrophysics of old isolated neutron stars, which were published in 1994-99 by my co-authors and myself.",http://arxiv.org/abs/0903.4884v1
Astrophysics,VHE Astronomy before the New Millenium,A report on the observational status of VHE astronomy is given.,http://arxiv.org/abs/0903.4884v1
Astrophysics,Space Instrumentation: Imaging Interferometry,A short overview on aperture synthesis in space for the non-specialist,http://arxiv.org/abs/0903.4884v1
Astrophysics,Measuring CMB polarisation with the Planck HFI,We describe the Planck HFI design and expected performances for measuring CMB polarisation.,http://arxiv.org/abs/0903.4884v1
Astrophysics,Variable Stars in M31's Globular Clusters,This paper has been withdrawn.,http://arxiv.org/abs/0903.4884v1
Astrophysics,Dynamics of Magnetized Spherical Accretion Flows,Transonic accretion flow with self-consistent treatment of random magnetic field is presented.,http://arxiv.org/abs/0903.4884v1
Astrophysics,Multiplicity Study of Exoplanet Host Stars,We present recent results of our ongoing multiplicity study of exoplanet host stars.,http://arxiv.org/abs/0903.4884v1
Astrophysics,Astrophysical Neutrino Reactions and Muon Capture in Deuterium,We discuss the importance of precise study of muon capture in deuterium for correct understanding of some fundamental astrophysical processes,http://arxiv.org/abs/0903.4884v1
Astrophysics,"Laboratory Astrophysics White Paper (based on the 2010 NASA Laboratory
  Astrophysics Workshop in Gatlinberg, Tennessee, 25-28 October 2010)","The purpose of the 2010 NASA Laboratory Astrophysics Workshop (LAW) was, as given in the Charter from NASA, ""to provide a forum within which the scientific community can review the current state of knowledge in the field of Laboratory Astrophysics, assess the critical data needs of NASA's current and future Space Astrophysics missions, and identify the challenges and opportunities facing the field as we begin a new decade"". LAW 2010 was the fourth in a roughly quadrennial series of such workshops sponsored by the Astrophysics Division of the NASA Science Mission Directorate. In this White Paper, we report the findings of the workshop.",http://arxiv.org/abs/0903.4884v1
Astrophysics,"The ""Jeans Swindle"": the end of a myth?","The Jeans model is shown to be self-consistent, so that the ""Jeans Swindle"" has never taken place.",http://arxiv.org/abs/0903.4884v1
Astrophysics,"Astrophysical objects observed by the MESSENGER X-ray spectrometer
  during Mercury flybys","The MESSENGER spacecraft conducted its first flyby of Mercury on 14th January 2008, followed by two subsequent encounters on 6th October 2008 and 29th September 2009, prior to Mercury orbit insertion on 18th March 2011. We have reviewed MESSENGER flight telemetry and X-ray Spectrometer observations from the first two encounters, and correlate several prominent features in the data with the presence of astrophysical X-ray sources in the instrument field of view. We find that two X-ray peaks attributed in earlier work to the detection of suprathermal electrons from the Mercury magnetosphere, are likely to contain a significant number of events that are of astrophysical origin. The intensities of these two peaks cannot be explained entirely on the basis of astrophysical sources, and we support the previous suprathermal explanation but suggest that the electron fluxes derived in those studies be revised to correct for a significant astrophysical signal.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Self-Organized Criticality Systems in Astrophysics (Chapter 13),Chapter 13: SOC Systems in Astrophysics --- Content list: 13.1 Theory -- 13.1.1 The Sacle-Free Probability Theorem - 13.1.2 The Fractal-Diffusive Spatio-Temporal Relationship - 13.1.3 Size Distributions of Astrophysical Observables - 13.1.4 Scaling Laws for Thermal Emission of Astrophysical Plasmas - 13.1.5 Scaling Laws for Astrophysical Acceleration Mechanisms - 13.2 Observations -- 13.2.1 Lunar Craters - 13.2.2 Asteroid Belt - 13.2.3 Saturn Ring - 13.2.4 Magnetospheric Substorms and Auroras - 13.2.5 Solar Flares - 13.2.6 Stellar Flares - 13.2.7 Pulsars - 13.2.8 Soft Gamma-Ray Repeaters - 13.2.9 Black-Hole Objects - 13.2.10 Blazars - 13.2.11 Cosmic Rays - 13.3 Conclusions,http://arxiv.org/abs/0903.4884v1
Astrophysics,Who discovered Universe expansion?,Lundmark established observational evidence that the Universe is expanding. Lema\^itre established theoretical evidence. Hubble established observational proof.,http://arxiv.org/abs/0903.4884v1
Astrophysics,Galaxy Group Scaling Relations,What is a galaxy group?,http://arxiv.org/abs/0903.4884v1
Astrophysics,Astronomy and Astrophysics in the Philosophy of Science,"This article looks at philosophical aspects and questions that modern astrophysical research gives rise to. Other than cosmology, astrophysics particularly deals with understanding phenomena and processes operating at ""intermediate"" cosmic scales, which has rarely aroused philosophical interest so far. Being confronted with the attribution of antirealism by Ian Hacking because of its observational nature, astrophysics is equipped with a characteristic methodology that can cope with the missing possibility of direct interaction with most objects of research. In its attempt to understand the causal history of singular phenomena it resembles the historical sciences, while the search for general causal relations with respect to classes of processes or objects can rely on the ""cosmic laboratory"": the multitude of different phenomena and environments, naturally provided by the universe. Furthermore, the epistemology of astrophysics is strongly based on the use of models and simulations and a complex treatment of large amounts of data.",http://arxiv.org/abs/0903.4884v1
Astrophysics,"First predictions of the angular power spectrum of the astrophysical
  gravitational wave background","We present the first predictions for the angular power spectrum of the astrophysical gravitational wave background constituted of the radiation emitted by all resolved and unresolved astrophysical sources. Its shape and amplitude depend on both the astrophysical properties on galactic scales and on cosmological properties. We show that the angular power spectrum behaves as $C_{\ell}\propto 1/{\ell}$ on large scales and that relative fluctuations of the signal are of order 30% at 100 Hz. We also present the correlations of the astrophysical gravitational wave background with weak-lensing and galaxy distribution. These numerical results pave the way to the study of a new observable at the crossroad between general relativity, astrophysics and cosmology.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Statistical properties of astrophysical gravitational-wave backgrounds,"We investigate how a stochastic gravitational wave background, produced from a discrete set of astrophysical sources, differs from an idealised model consisting of an isotropic, unpolarised, and Gaussian background. We focus, in particular, on the different signatures produced from these two cases, as observed in a cross-correlation search. We show that averaged over many realisations of an astrophysical background, the cross-correlation measurement of an astrophysical background is identical to that of an idealised background. However, any one realisation of an astrophysical background can produce a different signature. Using a model consisting of an ensemble of binary neutron star coalescences, we quantify the typical difference between the signal from individual realisations of the astrophysical background and the idealised case. For advanced detectors, we find that, using a cross-correlation analysis, astrophysical backgrounds from many discrete sources are probably indistinguishable from an idealised background.",http://arxiv.org/abs/0903.4884v1
Astrophysics,"Robust, open-source removal of systematics in Kepler data","We present ARC2 (Astrophysically Robust Correction 2), an open-source Python-based systematics-correction pipeline to correct for the Kepler prime mission long cadence light curves. The ARC2 pipeline identifies and corrects any isolated discontinuities in the light curves, then removes trends common to many light curves. These trends are modelled using the publicly available co-trending basis vectors, within an (approximate) Bayesian framework with `shrinkage' priors to minimise the risk of over-fitting and the injection of any additional noise into the corrected light curves, while keeping any astrophysical signals intact. We show that the ARC2 pipeline's performance matches that of the standard Kepler PDC-MAP data products using standard noise metrics, and demonstrate its ability to preserve astrophysical signals using injection tests with simulated stellar rotation and planetary transit signals. Although it is not identical, the ARC2 pipeline can thus be used as an open source alternative to PDC-MAP, whenever the ability to model the impact of the systematics removal process on other kinds of signal is important.",http://arxiv.org/abs/0903.4884v1
